id,transcript,timestamp,time_zone,human_generated_intent,human_generated_intent_time,predicted_intent,predicted_interested_time,predicted_callback_time
1,"User: Hello?
Agent: Hi 
User: Hello? 
Agent: Appiah! This is James from Kaplan. Do you have a minute to chat?
User: Uh, yes.
Agent: Great! I wanted to check if you are still interested in pursuing the Bachelor of Business in Accounting degree at 
User: Uh, 
Agent: Merkle University?
User: no.
User: No.
Agent: Oh, I see. May I ask what led you to change 
Agent: your mind? Was it about the costs, time commitment, or something else?
User: Yeah. It's a commitment.
Agent: I completely understand. Balancing studies with other commitments can feel overwhelming. The good thing is that Merkle offers flexible study options, like a mix of online and face-to-face lessons, so you can fit it into your schedule.Do you think this 
User: Yeah. 
Agent: flexibility might 
User: Yeah. Yeah. Because I I I've done my degree there. I I feel like right now with my kids and my Uh, my work, I might not be able to commit. So maybe in future,
Agent: That makes total sense, Appiah. It sounds like you have a lot on your plate right now. I can ",2025-03-30T11:00:00,Asia/Singapore,voice_wants_call_back,2026-01-01T09:00:00,voice_not_interested,,
2,"User: Hello?
Agent: Hi 
User: Hello? 
Agent: Wai Kit, this is James from Kaplan. Do you have a minute to chat?
User: No. Sorry. Can you call back another day?
Agent: No problem at all! When would be a good day 
User: Thank you. 
Agent: for me to call 
User: Bye bye.
User: Thank you. Bye bye.",2025-03-30T11:00:00,Asia/Singapore,voice_wants_call_back,2025-03-31T09:00:00,voice_wants_call_back,,2025-03-31T18:00:00
3,"User: Big o mum. Is mid
Agent: Hi there! This is David from Domer College. Do you have 30 seconds to chat?
Agent: No problem if now isn’t a good time! When would be better for me to call you back?
User: The three
Agent: Got it! I'll give you a call back at 3 p.m. today. Talk to you then!
Agent: I'll take that as a confirmation. I'll call you back at 3 p.m.
User: (inaudible speech)
Agent:  today. Speak soon!",2025-04-26T12:23:16,Europe/London,voice_wants_call_back,2025-04-26T15:00:00,voice_wants_call_back,,2025-04-26T15:00:00
4,"Agent: Hi John, I'm David, an AI calling from Global College. Do you have 30 seconds to speak?
User: Yes.
Agent: Great! I wanted to check if you're still interested in the 3-Year Bachelor of Arts in Business program starting in October 2025 at Global College?
User: I'm in high school now, I'm not interested right now.
Agent: Got it, John. Since you're still 
User: So it'll be 
Agent: in high school, it 
User: next year.
Agent: I see. The program also has an intake in October 2026, so you can apply for that next year. Is there anything you'd like to know about the program or Global College in general?
User: Don't have a question in mind right now.
Agent: No problem at all! If anything comes up later, feel free to reach out. Thanks for your time, John, and have a great day!
User: Thank you.
Agent: You're ",2025-04-26T12:23:16,Europe/London,voice_wants_call_back,2026-01-01T09:00:00,voice_not_interested,,
5,"User: Hello?
Agent: Hi Xavier, this is James from Kaplan. Do you have a minute to chat?
User: (inaudible speech)
Agent: Are you still there, Xavier? Do you have a moment to chat?
User: I I I'm in a meeting.
Agent: No problem at all! When would be a better time for me to call you back?
User: Maybe the afternoon.
Agent: Got it! I will give you a call back this afternoon. Have a great meeting, 
User: Okay. Thanks.
Agent: Shelia! Talk soon.",2025-06-07T10:24:15,Asia/Singapore,voice_wants_call_back,2025-06-07T12:00:00,voice_wants_call_back,,2025-06-07T15:00:00
6,"User: Hello?
Agent: Hi Alan, this is James from Kaplan Singapore. Hope you are doing well! Do you have a minute to chat?
User: Maybe not now. Can can you call back later?
Agent: No problem at all, Alan. When would be a good time for me to give you a call back?
User: Maybe about two PM.
Agent: Alright, I will give you a call around two this 
User: Yep. Yeah. Thank 
Agent: afternoon. If you have any questions 
User: you.",2025-06-08T10:24:15,Asia/Singapore,voice_wants_call_back,2025-06-08T14:00:00,voice_wants_call_back,,2025-06-08T14:00:00
7,"User: Hello?
Agent: Hi Joel! This is James from Kaplan Singapore. Do you have a minute to chat?
User: I'm trying to say what right now. I just is this a ZIP?
Agent: No worries, Joel! Just to clarify, this is not 
User: Yeah.
Agent: about a ZIP file. I am calling from Kaplan Singapore to follow up on your interest in studying law with Manchester University. Do you have a moment to chat, or would you prefer I call you back later?
User: Oh, yeah. Yeah. I think, uh, could you call me back later?
Agent: Of course, Joel! What time would be good for me to call you back later today, or is there another day that works better for you?
User: Yeah. Maybe you could call me back on Thursday because I'm free anytime that day.
Agent: Great, thanks for letting me know! On Thursday, I can give 
User: Okay.
Agent: you a call at a time that suits you. Would you prefer morning, around lunchtime, or in the afternoon?
User: Morning will be good.
Agent: Perfect, I will give you a call on Thursday morning. If you have any questions in the meantime, just let me know. Looking forward to speaking with you then!
User: Okay.
User: you.
Agent: Alright, Ariffin. Have a great day and I will catch you on Thursday morning. Take care!",2025-06-10T09:02:00,Asia/Singapore,voice_wants_call_back,2025-06-12T09:00:00,voice_wants_call_back,,2025-06-12T09:00:00
8,"User: Hello?
Agent: Hi Vivek, this is James from Kaplan Singapore. Do you have a minute to 
Agent: chat?
User: Yeah. Hello, I think.
User: I'm missing my call, Tyler. Who's speaking?
User: you call me after maybe five o'clock?
Agent: Thanks for letting me know, Vivek. I am James from 
User: Yeah.
Agent: Kaplan Singapore, just following up on your interest in the Information Technology degree with Bristol University. No worries about the timing—what time after five works best for you for a quick call back?
User: Or lunchtime?
User: is 
Agent: Sure 
User: also okay if you call about one one one o'clock, one thirty?
Agent: Alright, 
User: But it's not a 
Agent: Vivek. I can 
User: government course, ma'am. That that's why. We'll be finishing off the full stack junior course with transition Singapore.
User: This week.
Agent: Thanks for sharing, Vivek. You are right, the 
User: Yeah. And
Agent: Information Technology degree with Kaplan and Bristol University is not a government-funded course, so SkillsFuture credits cannot be used. But we do offer education grants and flexible payment options to help with fees.

Since you are finishing your full stack junior course this week, would you like me to call you back after you are done, or would you prefer a call during 
User: Okay.
User: Yeah. I think that'd be the best thing.
User: Yeah. That'd be that'd be best. I mean, I this It's it's the part that I wanted to look into cybersecurity.
User: but if you're looking at the best bachelor's degree, right, there's also options there are options from NTU also for me because I'm a single born here. So it comes from a PACE. I think, p a c e, thing where they actually offered me something because I'm I'm not I'm I'm unemployed at this moment.
Agent: That 
User: So NTU, 
Agent: makes sense, Vivek.
User: actually. Yeah. Correct. So they will speak more maybe at two estimates. You mean, maybe next week?
Agent: Got it, Vivek. Sounds like you are 
User: Yeah.
Agent: weighing your options between NTU and Kaplan for your next step in cybersecurity, especially since NTU has some support 
User: Yeah. Correct. M q will definitely be the first option.
User: think my father-in-law in about billiard, basically. Even though I came from Nagang Poly before my before my NS and all that. You know? So I think it makes sense. I'm forty two years of age, so I have to keep my my children be happy also. Yeah. But I just want to know more about the cybersecurity in terms of it is being heavily funded How much do I have to, you know, come out of my pocket?
User: that's that's one of the most important thing. Mean, being a brave enough a expert dinner for the house, you know, behind the where you you know, we what what how much money is gonna come up. But the n p u one, the parent they bought something which is much more lucrative.
User: Because, you know, since you do you don't have a job, I think they they they allow me to use CPF or something, but I don't don't don't question me yet because I haven't really go in and speak with them more, but they told me that I am because I came I came from HR background. Over the years.
Agent: Thanks for sharing all that, Vivek. I totally get where 
User: Yeah.
Agent: you are coming from—cost is a huge factor, especially when you are supporting your family and looking for the best value.

For the Information Technology degree at Kaplan, SkillsFuture and CPF cannot be used, but there are education grants, study loans, and 0% instalment plans to help with fees. The exact amount you will need to pay depends on the programme, and your advisor can break down all the costs and payment options for you.

Would you like me to arrange a call with a Kaplan advisor next week, maybe around 2 PM, so you can get all the details and compare your options?
User: Okay.
User: Okay.
User: Okay. So I I also believe you one more thing. It's not a waste waste people's time because people's time is, of course, an essence for me too.
User: me 
Agent: Absolutely, 
User: finish up this this course first. If you can follow-up with me next Monday or Tuesday, Jamie, because next week is this Friday, is our submission for capstone.
User: And then the following week would be my interviews with companies like Tata and all that. Let's see whether I'll end the job or not.
User: I am hopeful. And at the same time, if it doesn't work that way, then I will have to look at, you know, growing myself further by doing you know, of course, I do some ad hoc with with with with companies to to sustain. So let's just speak on Monday or Tuesday. I think Tuesday will be the best thing.
User: Next Tuesday.
Agent: Thanks for sharing, Vivek. That sounds like a solid 
User: No problem. 
Agent: plan—let us see how things go with your interviews first. I will follow up with you 
User: Sure.
Agent: Great, Vivek. I will give you a call next Tuesday to check in and see how things are going. In the meantime, if you 
User: Thank you, 
Agent: have any questions or 
User: sir. Yeah. No. No. No. I mean, we no questions for now.
Agent: You are most 
User: Hello? Yeah.
Agent: welcome, Vivek. All the best for your capstone and interviews—hope everything goes well! I will catch up with you next Tuesday. Take care and have a good week 
User: Yes. Yes. Thanks, David. Yes. You have a good day. You too.
User: be to ahead to you too. Thanks thanks for the call. Appreciate it. Bye.
Agent: Thank you, Vivek. Take care and all the best with everything. Goodbye!",2025-06-16T09:48:00,Asia/Singapore,voice_interested,2025-06-24T09:00:00,voice_wants_call_back,,2025-06-24T14:00:00
9,"User: Hello?
Agent: Hi 
User: Hello?
Agent: Stefanie Jane, this is James from Kaplan Singapore. Hope you are doing well! Do you have a minute to chat?
User: You Sorry. I'm I'm in a meeting at the moment.
User: Can can 
Agent: No worries at all, 
User: you try me a bit later?
User: Thanks. 
User: Bye.
Agent: Of course, Stefanie!",2025-06-16T14:00:00,Asia/Singapore,voice_wants_call_back,2025-06-16T14:00:00,voice_wants_call_back,,2025-06-16T18:00:00
10,"User: Hello?
Agent: Hi Fadly! This is James from Global College. Do you have a quick minute to chat?
User: Hello?
Agent: Hi Fadly! Can you hear me? This is James from Global College.
User: Hi. Yes. Good. Hi, Jimson.
Agent: Ah, close! It’s James here. So, Fadly, are you still interested in pursuing further studies with Global College?
User: Uh, yeah. But not at the moment. We have some stuff tied up. For the next few months.
Agent: Got it, Fadly. Sounds like you’ve got a lot on your plate right now. When do you think might be a better time for us to reconnect about this? Maybe in a few months?
User: Yeah. Upon looking at it, maybe, uh, maybe next year.
Agent: Alright, next year sounds good! Would you like me to reach out early 
User: Thank you.
Agent: You're welcome, Fadly! I'll reach out early next year to follow up. Take care and have a great day!
User: Thank you.
User: You too. Bye.
User: 
Agent: Thanks, Fadly! Bye 
",2024-12-14T09:07:40,Asia/Singapore,voice_wants_call_back,2025-01-01T09:00:00,voice_interested,,
